FULL PUBLICATION LIST — Giovanni Montana (Google Scholar)
To classify: [A] = algorithm paper, [S] = study/application, [R] = review, [O] = other
==========================================================================

2026  Life event trajectories and suicidal ideation throughout adolescence | Lancet Psychiatry | [ ]
2026  Action-free offline-to-online RL via discretised state policies | arXiv | [ ]
2026  Partial action replacement: tackling distribution shift in offline MARL | arXiv | [ ]
2026  Generating a Novel Dataset for Mechanisms of Drug-Induced Toxicity using LLM-supported tools | LMRL@ICLR | [ ]
2026  Action Dimension Coordination via Centralised Critics for Continuous Control | preprint | [ ]
2025  Uncertainty-based smooth policy regularisation for RL with few demonstrations | arXiv | [ ]
2025  Offline RL for community-acquired pneumonia management | ECML | [ ]
2025  Retrosynthesis planning via worst-path policy optimisation in tree-structured MDPs | NeurIPS | [ ]
2025  Computer vision-based aluminum scrap grade classification and detection for upcycling | J Sustainable Metallurgy | [ ]
2025  Efficient verified machine unlearning for distillation | arXiv | [ ]
2025  Achieving collective welfare in multi-agent RL via suggestion sharing | Machine Learning | [ ]
2025  Dynamic pricing in high-speed railways using multi-agent RL | arXiv | [ ]
2025  Evaluation-time policy switching for offline RL | AAMAS | [ ]
2025  Learning on one mode: addressing multi-modality in offline RL | ICLR | [ ]
2025  Investigating relational state abstraction in collaborative MARL | AAAI | [ ]
2025  State-constrained offline reinforcement learning | TMLR | [ ]
2024  Development and validation of open-source deep neural networks for comprehensive chest x-ray reading | Lancet Digital Health | [ ]
2024  Model-based trajectory stitching for improved behavioural cloning and its applications | Machine Learning | [ ]
2024  Are better AI algorithms for breast cancer detection also better at predicting risk? | Breast Cancer Res | [ ]
2024  Decoding viewer emotions in video ads | Scientific Reports | [ ]
2024  Increasing transparency of computer-aided detection impairs decision-making in visual search | Psychon Bull Rev | [ ]
2024  Balancing policy constraint and ensemble size in uncertainty-based offline RL | Machine Learning | [ ]
2024  Decoupling multimodal transformers for referring video object segmentation | IEEE TCSVT | [ ]
2024  REValueD: regularised ensemble value-decomposition for factorisable MDPs | ICLR | [ ]
2024  An optimization framework to guide the choice of thresholds for risk-based cancer screening | NPJ Digital Med | [ ]
2024  An investigation of offline RL in factorisable action spaces | arXiv | [ ]
2024  Learning on one mode: addressing multi-modality in offline RL | arXiv (dup?) | [ ]
2024  Investigating relational state abstraction in collaborative MARL | arXiv (dup?) | [ ]
2024  Mitigating relative over-generalisation in multi-agent RL | arXiv | [ ]
2024  A multi-task transformer model for fine-grained labelling of chest x-ray reports | CL | [ ]
2024  Automated ranking of chest x-ray radiological finding severity | MIDL | [ ]
